,restaurant,cuisine,price,rating,total review count
0,DiPasqualesItalianMarketplaceDeli,"Italian, Pizza",$$ - $$$,5.0,694
1,JoeBennysFocacceria,"Italian, Pizza",$$ - $$$,5.0,215
2,CharlestonRestaurant,American,$$$$,4.5,943
3,LaTavola,"Seafood, Italian",$$ - $$$,4.5,682
4,ThamesStreetOysterHouse,"American, Bar",$$ - $$$,4.5,2105
5,DalesiosofLittleItalyRestaurant,Italian,$$ - $$$,4.5,993
6,TheCapitalGrille,"American, Steakhouse",$$$$,4.5,644
7,SoBoCafe,American,$$ - $$$,4.5,228
8,OneEyedMikes,"American, Bar",$$ - $$$,4.5,302
9,TheHelmand,"Middle Eastern, Afghani",$$ - $$$,4.5,606
10,SamosRestaurant,"Mediterranean, Greek",$$ - $$$,4.5,289
11,LaScala,"Italian, Tuscan",$$$$,4.5,896
12,SottoSopra,"Italian, European",$$$$,4.5,498
13,MissShirleysCafeRolandPark,American,$$ - $$$,4.5,1434
14,KocosPub,"American, Bar",$$ - $$$,4.5,283
15,TheFoodMarket,American,$$ - $$$,4.5,391
16,BlueMoonCafe,"American, Cafe",$$ - $$$,4.5,904
17,MissShirleysCafeInnerHarbor,American,$$ - $$$,4.5,1267
18,LPSteamers,"American, Seafood",$$ - $$$,4.5,656
19,Cazbar,"Mediterranean, European",$$ - $$$,4.5,345
20,MamasontheHalfShell,"American, Bar",$$ - $$$,4.5,676
21,Gertrudes,American,$$ - $$$,4.5,479
22,PetitLouisBistro,"French, European",$$$$,4.5,344
23,MaxsTaphouse,"American, Bar",$$ - $$$,4.5,362
24,OuzoBay,"Mediterranean, Seafood",$$$$,4.5,456
25,NicksFishHouse,"American, Bar",$$ - $$$,4.5,698
26,FogoDeChaoBrazilianSteakhouse,"Steakhouse, Brazilian",$$$$,4.5,1018
27,Amiccis,Italian,$$ - $$$,4.0,754
28,RustyScupper,"American, Seafood",$$$$,4.0,1967
29,WoodberryKitchen,American,$$$$,4.5,1217
30,BOAmericanBrasserie,"American, Bar",$$ - $$$,4.0,589
31,PetersPourHouse,"American, Bar",$$ - $$$,4.5,260
32,IsabellasBrickOven,"Italian, Pizza",$,4.5,188
33,KoopersTavern,"American, Bar",$$ - $$$,4.0,437
34,MickOSheas,"Irish, Bar",$$ - $$$,4.5,191
35,TheAbbeyBurgerBistro,"American, Bar",$$ - $$$,4.5,246
36,BlueMoonToo,"American, Cafe",$$ - $$$,4.5,118
37,ThePrimeRib,"American, Steakhouse",$$$$,4.5,380
38,RestauranteTioPepe,Spanish,$$$$,4.5,467
39,JimmysFamousSeafood,"American, Bar",$$ - $$$,4.0,684
40,Cinghiale,Italian,$$$$,4.0,554
41,AnnabelLeeTavern,"American, Bar",$$ - $$$,4.5,189
